Bin Number,0 Control,0->1->0,1->0->1,1 Control (0->1->0),1 Control (1->0->1)
474,0,0.147581126,0.328762694,1,1
475,5.78E-19,0.145866962,0.325644428,1,1
476,-1.73E-18,0.145268084,0.325523382,1,1
477,-1.73E-18,0.145367839,0.323833419,1,1
478,0,0.145806019,0.32301815,1,1
479,2.89E-18,0.146475901,0.323692645,1,1
480,-1.16E-18,0.14550955,0.320749558,1,1
481,5.78E-19,0.147660688,0.319649955,1,1
482,-1.73E-18,0.147843946,0.318065331,1,1
483,-1.16E-18,0.148585718,0.317279908,1,1
484,2.31E-18,0.14930028,0.320059985,1,1
485,-1.73E-18,0.149547476,0.31959681,1,1
486,-2.31E-18,0.149733729,0.317437248,1,1
487,5.78E-19,0.149771391,0.316091183,1,1
488,2.89E-18,0.149675997,0.314478444,1,1
489,-5.78E-19,0.151069981,0.314412638,1,1
490,-2.31E-18,0.152340274,0.317355179,1,1
491,-1.16E-18,0.151181207,0.31667748,1,1
492,5.78E-19,0.150888237,0.31604789,1,1
493,-1.73E-18,0.151605778,0.315126303,1,1
494,0,0.14990175,0.312590995,1,1
495,5.78E-19,0.149151185,0.312511394,1,1
496,2.31E-18,0.149867424,0.31337264,1,1
497,0,0.150731773,0.314410763,1,1
498,0,0.151213086,0.314875084,1,1
499,0,0.151213086,0.314875084,1,1
500,0,0.151213086,0.314875084,1,1
501,-2.89E-18,0.171042859,0.278297144,1,1
502,-2.89E-18,0.171042859,0.278297144,1,1
503,-2.89E-18,0.171042859,0.278297144,1,1
504,-2.89E-18,0.171042859,0.278297144,1,1
505,2.89E-18,0.171070965,0.278252155,1,1
506,4.63E-18,0.171092564,0.278047846,1,1
507,5.78E-19,0.170731177,0.277759639,1,1
508,0,0.171060498,0.276707759,1,1
509,1.73E-18,0.173046615,0.277447638,1,1
510,1.73E-18,0.17200232,0.276592563,1,1
511,-1.16E-18,0.17122094,0.275637276,1,1
512,-1.73E-18,0.172595944,0.275441462,1,1
